player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG
Moise Kean,10,297,1,1.7748089330270886,1,0.8710310496389866,12,4,F S,Everton,1,1.7748089330270886
Adam Masina,10,735,1,0.16239037178456783,0,0.21743245515972376,4,5,D S,Watford,1,0.16239037178456783
Michael Keane,10,749,1,1.1793380472809076,0,0.454681396484375,7,2,D S,Everton,1,1.1793380472809076
Andre Gray,10,272,1,1.2642816454172134,0,0.12175610288977623,7,2,F S,Watford,1,1.2642816454172134
Johann Berg Gudmundsson,7,399,1,0.5360301658511162,0,0.6751073747873306,9,10,M S,Burnley,1,0.5360301658511162
Harry Maguire,10,900,1,0.5147175788879395,0,0.03211954887956381,8,2,D,Manchester United,1,0.5147175788879395
Jarrod Bowen,3,95,1,0.9634332954883575,0,0.06308288872241974,5,1,M S,West Ham,1,0.9634332954883575
Jefferson Lerma,10,825,1,0.22212444804608822,1,0.5656455084681511,9,4,M,Bournemouth,1,0.22212444804608822
Mateo Kovacic,10,626,1,0.44746130891144276,1,0.385644874535501,10,10,M S,Chelsea,1,0.44746130891144276
Rodri,10,711,1,0.2202726723626256,0,0.5070953499525785,9,10,D M S,Manchester City,1,0.2202726723626256
Ricardo Pereira,10,900,1,0.5237069725990295,1,1.6511834114789963,9,9,D M,Leicester,1,0.5237069725990295
Fabinho,10,610,1,0.09913559537380934,0,0.35286305099725723,5,5,M S,Liverpool,1,0.09913559537380934
Serge Aurier,10,815,1,0.1803122293204069,2,1.7439070381224155,4,13,D M S,Tottenham,1,0.1803122293204069
Neal Maupay,10,772,1,3.50106081366539,2,0.6717489957809448,28,6,F S,Brighton,1,3.50106081366539
Florin Andone,3,69,1,0.36459624767303467,0,0.058196283876895905,1,1,F S,Brighton,1,0.36459624767303467
Naby Keita,9,358,1,1.490462750196457,1,1.5419039726257324,7,8,M S,Liverpool,1,1.490462750196457
Scott McTominay,10,746,1,0.9886222034692764,0,0.40856463089585304,13,9,M S,Manchester United,1,0.9886222034692764
Harry Wilson,10,666,1,1.3161007538437843,0,0.9905401943251491,19,7,F M S,Bournemouth,1,1.3161007538437843
Anwar El Ghazi,10,715,1,1.7831762880086899,0,0.5286187455058098,17,10,F M S,Aston Villa,0,1.0220074206590652
Philip Billing,10,766,1,1.3909252481535077,0,0.37674107030034065,12,6,M S,Bournemouth,1,1.3909252481535077
Jan Bednarek,10,900,1,0.7665559127926826,0,0.02036399021744728,3,1,D,Southampton,1,0.7665559127926826
Shane Duffy,10,690,1,1.1668604761362076,0,0.13407667726278305,4,2,D S,Brighton,1,1.1668604761362076
Isaac Hayden,10,768,1,0.5412492519244552,0,0.6762177720665932,8,7,D M S,Newcastle United,1,0.5412492519244552
Douglas Luiz,10,747,1,1.516854640096426,2,0.8272068435326219,14,8,M S,Aston Villa,1,1.516854640096426
Jetro Willems,10,755,1,0.12280245870351791,0,0.41862058639526367,3,6,D M,Newcastle United,1,0.12280245870351791
Andriy Yarmolenko,10,536,1,1.386588741093874,1,2.838373314589262,11,9,M S,West Ham,1,1.386588741093874
Hamza Choudhury,10,469,1,0.20515909604728222,0,0.024734091013669968,4,1,M S,Leicester,1,0.20515909604728222
Callum Hudson-Odoi,10,507,1,1.3136620493605733,1,1.1442137658596039,14,8,F M S,Chelsea,1,1.3136620493605733
Eddie Nketiah,4,191,1,1.4109353125095367,0,0.06527946889400482,6,1,F S,Arsenal,1,1.4109353125095367
Dwight McNeil,10,900,1,0.45164292119443417,1,2.7594029288738966,12,18,M,Burnley,1,0.45164292119443417
James Maddison,10,810,1,0.8901188410818577,0,1.5869737938046455,15,28,M S,Leicester,1,0.8901188410818577
Fabián Balbuena,10,900,1,1.2432201206684113,0,0.4616926908493042,9,1,D,West Ham,1,1.2432201206684113
Bernard,10,531,1,0.9502090029418468,2,1.2910205386579037,7,14,M S,Everton,1,0.9502090029418468
Björn Engels,10,817,1,0.7167183589190245,0,0.14336226508021355,7,2,D S,Aston Villa,1,0.7167183589190245
Leander Dendoncker,10,703,1,0.5276423655450344,0,0.4436234086751938,3,3,D M S,Wolverhampton Wanderers,1,0.5276423655450344
Miguel Almirón,10,857,1,1.819113489240408,0,0.4286113828420639,13,7,F M,Newcastle United,1,1.819113489240408
Jamal Lewis,10,692,1,0.26051572524011135,0,0,6,0,D S,Norwich,1,0.26051572524011135
Todd Cantwell,10,755,1,1.1549666859209538,0,0.6935361176729202,14,10,M S,Norwich,1,1.1549666859209538
Leandro Trossard,10,677,1,0.8741517290472984,1,1.267249720171094,12,14,F M S,Brighton,1,0.8741517290472984
Adam Webster,10,900,1,1.040231566876173,1,0.7193918786942959,5,4,D,Brighton,1,1.040231566876173
Enda Stevens,10,858,1,0.513026874512434,0,1.4987828135490417,4,12,M,Sheffield United,1,0.513026874512434
John Lundstram,10,566,1,0.9202008936554193,1,0.639695443212986,10,4,M S,Sheffield United,1,0.9202008936554193
Oliver Norwood,10,882,1,0.9187281467020512,0,1.779777865856886,6,16,M,Sheffield United,0,0.15755932312458754
Billy Sharp,10,419,1,1.355581559240818,0,0.12650105357170105,7,3,F S,Sheffield United,1,1.355581559240818
Wesley,10,864,1,2.0822657123208046,0,0.34380731731653214,15,6,F,Aston Villa,1,2.0822657123208046
Dennis Srbeny,8,29,1,0.4821467623114586,0,0,2,0,S,Norwich,1,0.4821467623114586
